Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission,name_key,birth_year,Country,Gender_iad,Total Flights,total_flight_days,is_military,ug_discipline,pathway
Alan G. Poindexter,1998.0,17.0,Deceased,11/5/1961,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0.0,"STS-122 (Atlantis), STS-131 (Discovery)",7/1/2012,,alan g poindexter,1961,United States,Man,2.0,27.881249999999998,True,engineering,Military
Mark L. Polansky,1996.0,16.0,Retired,6/2/1956,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,,,3,995,0,0.0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,,mark l polansky,1956,,,,,False,engineering,Academic
Charles J. Precourt,1990.0,13.0,Retired,6/29/1955,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0.0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,,charles j precourt,1955,,,,,True,engineering,Military
William F. Readdy,1987.0,12.0,Retired,1/24/1952,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,672,0,0.0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,,william f readdy,1952,,,,,True,engineering,Military
Kenneth S. Reightler Jr. ,1987.0,12.0,Retired,3/24/1951,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0.0,"STS-48 (Discovery), STS-60 (Discovery)",,,kenneth s reightler,1951,,,,,True,engineering,Military
James F. Reilly II ,1995.0,15.0,Retired,3/18/1954,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,,,3,854,5,31.0,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,,james f reilly ii,1954,,,,,False,other/unknown,Academic
Garrett E. Reisman,1998.0,17.0,Retired,2/10/1968,"Morristown, NJ",Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,,,2,2571,3,21.0,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,,garrett e reisman,1968,,,,,False,other/unknown,Academic
Judith A. Resnik,1978.0,8.0,Deceased,4/5/1949,"Akron, OH",Female,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,,,2,144,0,0.0,"STS 41-D (Discovery), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger),judith a resnik,1949,,,,,False,engineering,Academic
Paul W. Richards,1996.0,16.0,Management,5/20/1964,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,,,1,307,1,6.0,STS-102 (Discovery),,,paul w richards,1964,United States,Man,1.0,12.827083333333334,False,engineering,Academic
Richard N. Richards,1980.0,9.0,Retired,8/24/1946,"Key West, FL",Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0.0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,,richard n richards,1946,United States,Man,4.0,33.895833333333336,True,engineering,Military
Sally K. Ride,1978.0,8.0,Deceased,5/26/1951,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,,,2,343,0,0.0,"STS-7 (Challenger), STS 41-G (Challenger)",7/23/2012,,sally k ride,1951,,,,,False,physical_sciences,Academic
Patricia Hilliard Robertson,1998.0,17.0,Deceased,3/12/1963,"Indiana, PA",Female,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,,,0,0,0,0.0,,5/24/2001,,patricia hilliard robertson,1963,,,,,False,life_sciences,Academic
Stephen K. Robinson,1995.0,15.0,Retired,10/26/1955,"Sacramento, CA",Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,,4,1162,3,20.0,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,,stephen k robinson,1955,,,,,False,engineering,Academic
Kent V. Rominger,1992.0,14.0,Retired,8/7/1956,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0.0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,,kent v rominger,1956,,,,,True,engineering,Military
Stuart A. Roosa,1966.0,5.0,Deceased,8/16/1933,"Durango, CO",Male,University of Colorado,Aeronautical Engineering,,Colonel,US Air Force (Retired),1,216,0,0.0,Apollo 14,12/12/1994,,stuart a roosa,1933,,,,,True,engineering,Military
Jerry L. Ross,1980.0,9.0,Retired,1/20/1948,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58.0,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,,jerry l ross,1948,United States,Man,7.0,58.03680555555556,True,engineering,Military
Kathleen Rubins,2009.0,20.0,Active,10/14/1978,"Farmington, CT",Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,,,1,2762,2,13.0,ISS-48/49 (Soyuz),,,kathleen rubins,1978,United States,Woman,2.0,300.06319444444443,False,life_sciences,Academic
Mario Runco Jr. ,1987.0,12.0,Management,1/26/1952,"Bronx, NY",Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0.0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",04/23/01,,mario runco,1952,United States,Man,3.0,22.963194444444444,True,other/unknown,Military
Albert Sacco Jr.,,,Retired,5/3/1949,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,,,1,381,0,0.0,STS-73 (Columbia),,,albert sacco,1949,United States,Man,1.0,15.911111111111111,False,engineering,Academic
Robert L. Satcher Jr. ,2004.0,19.0,Retired,9/22/1965,"Hampton, VA",Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,,,1,259,2,12.0,STS-129 (Atlantis),,,robert l satcher,1965,,,,,False,engineering,Academic
Walter M. Schirra Jr. ,1959.0,1.0,Deceased,3/12/1923,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),3,295,0,0.0,"Mercury 8, Gemini 6, Apollo 7",5/2/2007,,walter m schirra,1923,,,,,True,other/unknown,Military
Harrison H. Schmitt,1965.0,4.0,Retired,7/3/1935,"Santa Rita, NM",Male,California Institute of Technology; Harvard University,Geology,Geology,,,1,301,3,22.0,Apollo 17,,,harrison h schmitt,1935,,,,,False,other/unknown,Academic
Russell L. Schweickart,1963.0,3.0,Retired,10/25/1935,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,,,1,241,1,1.0,Apollo 9,,,russell l schweickart,1935,,,,,False,other/unknown,Academic
Francis R. Scobee,1978.0,8.0,Deceased,5/19/1939,"Cle Elum, WA",Male,University of Arizona,Aerospace Engineering,,Major,US Air Force (Retired),2,167,0,0.0,"STS 41-C (Challenger), STS 51-L (Challenger)",1/28/1986,STS 51-L (Challenger),francis r scobee,1939,,,,,True,engineering,Military
David R. Scott,1963.0,3.0,Retired,6/6/1932,"San Antonio, TX",Male,US Military Academy; MIT,,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19.0,"Gemini 8, Apollo 9, Apollo 15",,,david r scott,1932,,,,,True,other/unknown,Military
Winston E. Scott,1992.0,14.0,Retired,8/6/1950,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19.0,"STS-72 (Endeavor), STS-87 (Columbia)",,,winston e scott,1950,,,,,True,other/unknown,Military
Paul D. Scully-Power,,,Retired,5/28/1944,"Sydney, Australia",Male,University of Sydney,Applied Mathematics,,,,1,197,0,0.0,STS 41-G (Challenger),,,paul d scully-power,1944,,,,,False,math,Academic
Richard A. Searfoss,1990.0,13.0,Retired,6/5/1956,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0.0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,,richard a searfoss,1956,,,,,True,engineering,Military
Margaret Rhea Seddon,1978.0,8.0,Retired,11/8/1947,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,,,3,722,0,0.0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,,margaret rhea seddon,1947,,,,,False,other/unknown,Academic
Elliot M. See Jr. ,1962.0,2.0,Deceased,7/23/1927,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,,Engineering,,,0,0,0,0.0,,2/28/1966,,elliot m see,1927,,,,,False,other/unknown,Academic
Ronald M. Sega,1990.0,13.0,Retired,12/4/1952,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0.0,"STS-60 (Discovery), STS-76 (Atlantis)",,,ronald m sega,1952,,,,,True,physical_sciences,Military
Piers J. Sellers,1996.0,16.0,Management,4/11/1955,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,,,3,839,6,41.0,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,,piers j sellers,1955,,,,,False,other/unknown,Academic
Brewster H. Shaw Jr. ,1978.0,8.0,Retired,5/16/1945,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0.0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,,brewster h shaw,1945,,,,,True,engineering,Military
Alan B. Shepard Jr. ,1959.0,1.0,Deceased,11/18/1923,"East Derry, NH",Male,US Naval Academy,Naval Sciences,,Rear Admiral,US Navy (Retired),2,216,2,9.0,"Mercury 3, Apollo 14",7/21/1998,,alan b shepard,1923,,,,,True,other/unknown,Military
William M. Shepherd,1984.0,10.0,Retired,7/26/1949,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0.0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,,william m shepherd,1949,,,,,True,engineering,Military
Loren J. Shriver,1978.0,8.0,Retired,9/23/1944,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0.0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,,loren j shriver,1944,,,,,True,engineering,Military
Donald K. Slayton,1959.0,1.0,Deceased,3/1/1924,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,,Major,US Air Force Reserves,1,217,0,0.0,Apollo-Soyuz Test Project,6/13/1993,,donald k slayton,1924,,,,,True,engineering,Military
Michael J. Smith,1980.0,9.0,Deceased,4/30/1945,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0.0,STS 51-L (Challenger),1/28/1986,STS 51-L (Challenger),michael j smith,1945,United States,Man,1.0,0.0006944444444444445,True,other/unknown,Military
Steven L. Smith,1992.0,14.0,Management,12/30/1958,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,,,4,960,7,49.0,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,,steven l smith,1958,,,,,False,engineering,Academic
Sherwood C. Spring,1980.0,9.0,Retired,9/23/1944,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12.0,STS 61-B (Atlantis),,,sherwood c spring,1944,,,,,True,engineering,Military
Robert C. Springer,1980.0,9.0,Retired,5/21/1942,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0.0,"STS-29 (Discovery), STS-38 (Atlantis)",,,robert c springer,1942,,,,,True,other/unknown,Military
Thomas P. Stafford,1962.0,2.0,Retired,9/17/1930,"Weatherford, OK",Male,US Naval Academy,,,Lieutenant General,US Air Force (Retired),4,507,0,0.0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,,thomas p stafford,1930,,,,,True,other/unknown,Military
Heidemarie M. Stefanyshyn-Piper,1996.0,16.0,Retired,2/7/1963,"St. Paul, MN",Female,MIT,Mechanical Engineering,,Captain,US Navy,2,663,2,33.0,"STS-115 (Atlantis), STS-126 (Endeavor)",,,heidemarie m stefanyshyn-piper,1963,,,,,True,engineering,Military
Robert L. Stewart,1978.0,8.0,Retired,8/13/1942,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12.0,"STS 41-B (Challenger), STS 51-J (Atlantis)",,,robert l stewart,1942,,,,,True,math,Military
Nicole P. Stott,2000.0,18.0,Active,11/19/1962,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,,,2,2477,1,6.0,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,,nicole p stott,1962,,,,,False,engineering,Academic
Frederick W. Sturckow,1995.0,15.0,Retired,8/11/1961,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,,Colonel,US Marine Corps (Retired),4,1233,0,0.0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,,frederick w sturckow,1961,,,,,True,engineering,Military
Kathryn D. Sullivan,1978.0,8.0,Retired,10/3/1951,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,,,3,532,1,3.0,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,,kathryn d sullivan,1951,,,,,False,other/unknown,Academic
Steven R. Swanson,1998.0,17.0,Active,12/3/1960,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,,,3,4700,5,28.0,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,,steven r swanson,1960,,,,,False,engineering,Academic
John L. Swigert Jr. ,1966.0,5.0,Deceased,8/30/1931,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,,,1,142,0,0.0,Apollo 13,12/27/1982,,john l swigert,1931,,,,,False,engineering,Academic
Daniel M. Tani,1996.0,16.0,Retired,2/1/1961,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,,,2,3162,6,39.0,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,,daniel m tani,1961,,,,,False,engineering,Academic
Joseph R. Tanner,1992.0,14.0,Retired,1/21/1950,"Danville, IL",Male,University of Illinois,Mechanical Engineering,,,,4,1045,7,46.0,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,,joseph r tanner,1950,,,,,False,engineering,Academic
Norman E. Thagard,1978.0,8.0,Retired,7/3/1943,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,,,5,3373,0,0.0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,,norman e thagard,1943,,,,,False,engineering,Academic
Andrew S. W. Thomas,1992.0,14.0,Management,12/18/1951,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,,,4,4257,1,6.0,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,,andrew s w thomas,1951,,,,,False,engineering,Academic
Donald A. Thomas,1990.0,13.0,Retired,5/6/1955,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,,,4,1040,0,0.0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,,donald a thomas,1955,,,,,False,physical_sciences,Academic
Stephen D. Thorne,1985.0,11.0,Deceased,2/11/1953,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,,Lieutenant Commander,US Navy,0,0,0,0.0,,5/24/1986,,stephen d thorne,1953,,,,,True,engineering,Military
Kathryn C. Thornton,1984.0,10.0,Retired,8/17/1952,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,,,4,975,3,21.0,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,,kathryn c thornton,1952,,,,,False,physical_sciences,Academic
William E. Thornton,1967.0,6.0,Retired,4/14/1929,"Faison, NC",Male,University of North Carolina,Physics,Medicine,,,2,315,0,0.0,"STS-8 (Challenger), STS 51-B (Challenger)",,,william e thornton,1929,,,,,False,physical_sciences,Academic
Pierre J. Thuot,1985.0,11.0,Retired,5/19/1955,"Groton, CT",Male,US Naval Academy; University of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17.0,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,,pierre j thuot,1955,,,,,True,physical_sciences,Military
Scott D. Tingle,2009.0,20.0,Active,7/19/1965,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0.0,,,,scott d tingle,1965,United States,Man,1.0,168.22083333333333,True,engineering,Military
Richard H. Truly,1969.0,7.0,Retired,11/12/1937,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,,Vice Admiral,US Navy (Retired),2,199,0,0.0,"STS-2 (Columbia), STS-8 (Challenger)",,,richard h truly,1937,,,,,True,engineering,Military
Lodewijk van den Berg,,,Retired,3/24/1932,"Sluiskil, Netherlands",Male,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,,,1,168,0,0.0,STS 51-B (Challenger),,,lodewijk van den berg,1932,United States,Man,1.0,7.0055555555555555,False,engineering,Academic
James D. van Hoften,1978.0,8.0,Retired,6/11/1944,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,,,2,338,4,22.0,"STS 41-C (Challenger), STS 51-I (Discovery)",,,james d van hoften,1944,,,,,False,engineering,Academic
Mark T. Vande Hei,2009.0,20.0,Active,11/10/1966,"Falls Church, VA",Male,Saint John¡¯s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0.0,,,,mark t vande hei,1966,,,,,True,physical_sciences,Military
Charles Lacy Veach,1984.0,10.0,Deceased,9/18/1944,"Chicago, IL",Male,US Air Force Academy,Engineering Management,,,,2,436,0,0.0,"STS-39 (Discovery), STS-52 (Columbia)",10/3/1995,,charles lacy veach,1944,,,,,False,engineering,Academic
Terry W. Virts Jr. ,2000.0,18.0,Active,12/1/1967,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18.0,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,,terry w virts,1967,,,,,True,math,Military
James S. Voss,1987.0,12.0,Retired,3/3/1949,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22.0,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,,james s voss,1949,,,,,True,engineering,Military
Janice E. Voss,1990.0,13.0,Deceased,10/8/1956,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,,,5,1179,0,0.0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/2012,,janice e voss,1956,,,,,False,engineering,Academic
Rex J. Walheim,1996.0,16.0,Active,10/10/1962,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36.0,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,,rex j walheim,1962,,,,,True,engineering,Military
Charles D. Walker,,,Retired,8/29/1948,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,,,,3,477,0,0.0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,,charles d walker,1948,United States,Man,3.0,19.913888888888888,False,engineering,Academic
David M. Walker,1978.0,8.0,Deceased,5/20/1944,"Columbus, GA",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),4,724,0,0.0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",4/23/2001,,david m walker,1944,United States,Man,4.0,30.1875,True,other/unknown,Military
Shannon Walker,2004.0,19.0,Active,6/4/1965,"Houston, TX",Female,Rice University,Space Physics,Space Physics,,,1,3919,0,0.0,ISS-24/25 (Soyuz),,,shannon walker,1965,United States,Woman,2.0,330.56944444444446,False,physical_sciences,Academic
Carl E. Walz,1990.0,13.0,Retired,9/6/1955,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19.0,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,,carl e walz,1955,,,,,True,physical_sciences,Military
Taylor G. Wang,,,Retired,6/16/1940,"Jiangxi, China",Male,University of California at Los Angeles,Physics,Physics,,,1,168,0,0.0,STS 51-B (Challenger),,,taylor g wang,1940,,,,,False,physical_sciences,Academic
Mary E. Weber,1992.0,14.0,Retired,8/24/1962,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,,,2,450,0,0.0,"STS-70 (Discovery), STS-101 (Atlantis)",,,mary e weber,1962,,,,,False,engineering,Academic
Paul J. Weitz,1966.0,5.0,Retired,6/25/1932,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2.0,"Skylab 2, STS-6 (Challenger)",,,paul j weitz,1932,,,,,True,engineering,Military
James D. Wetherbee,1984.0,10.0,Retired,11/27/1952,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,,Captain,US Navy (Retired),6,1594,0,0.0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,,james d wetherbee,1952,,,,,True,engineering,Military
Douglas H. Wheelock,1998.0,17.0,Active,5/5/1960,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43.0,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,,douglas h wheelock,1960,,,,,True,engineering,Military
Edward H. White II ,1962.0,2.0,Deceased,11/14/1930,"San Antonio, TX",Male,US Military Academy; University of Michigan,,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",1/27/1967,Apollo 1,edward h white ii,1930,,,,,True,other/unknown,Military
Peggy A. Whitson,1996.0,16.0,Active,2/9/1960,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,,,3,11698,7,46.0,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,,peggy a whitson,1960,,,,,False,physical_sciences,Academic
Terrence W. Wilcutt,1990.0,13.0,Management,10/31/1949,"Russellville, KY",Male,Western Kentucky University,Mathematics,,,,4,1008,0,0.0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,,terrence w wilcutt,1949,,,,,False,math,Academic
Clifton C. Williams Jr. ,1963.0,3.0,Deceased,9/26/1932,"Mobile, AL",Male,Auburn University,Mechanical Engineering,,Major,US Marine Corps,0,0,0,0.0,,10/5/1967,,clifton c williams,1932,,,,,True,engineering,Military
Donald E. Williams,1978.0,8.0,Retired,2/13/1958,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,,Captain,US Navy (Retired),2,287,0,0.0,"STS 51-D (Discovery), STS-34 (Atlantis)",,,donald e williams,1958,,,,,True,engineering,Military
Jeffrey N. Williams,1996.0,16.0,Active,1/18/1958,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32.0,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,,jeffrey n williams,1958,,,,,True,engineering,Military
Sunita L. Williams,1998.0,17.0,Active,9/19/1965,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50.0,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,,sunita l williams,1965,,,,,True,other/unknown,Military
Barry E. Wilmore,2000.0,18.0,Active,12/29/1962,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25.0,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,,barry e wilmore,1962,,,,,True,engineering,Military
Stephanie D. Wilson,1996.0,16.0,Active,9/27/1966,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,,,3,1031,0,0.0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,,stephanie d wilson,1966,,,,,False,engineering,Academic
G. Reid Wiseman,2009.0,20.0,Active,11/11/1975,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Commander,US Navy,1,3968,2,13.0,ISS-40/41 (Soyuz),,,g reid wiseman,1975,,,,,True,engineering,Military
Peter J. K. Wisoff,1990.0,13.0,Retired,8/16/1958,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,,,4,1064,3,20.0,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,,peter j k wisoff,1958,,,,,False,physical_sciences,Academic
David A. Wolf,1990.0,13.0,Retired,8/23/1956,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,,,3,4044,7,41.0,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,,david a wolf,1956,,,,,False,engineering,Academic
Neil W. Woodward III ,1998.0,17.0,Retired,7/26/1962,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0.0,,,,neil w woodward iii,1962,,,,,True,physical_sciences,Military
